,funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,is_successful,category
8487,16000000.0,KEN,5,Nairobi,Nairobi,2,2007-01-01,2014-01-21,2015-03-18,0,EdTech
8490,12539293.0,USA,PA,Pittsburgh,Pittsburgh,5,1997-01-01,2009-09-03,2012-05-10,0,Semiconductors
8491,900000.0,USA,MO,St. Louis,St Louis,3,2012-09-24,2012-12-01,2014-04-11,0,Building Products
8494,30000.0,USA,CA,San Diego,San Diego,2,2013-01-15,2014-01-01,2014-09-01,0,Analytics
8495,340000.0,USA,CA,SF Bay Area,San Francisco,3,2014-08-26,2014-04-01,2015-05-01,0,Messaging
8496,8205000.0,USA,MA,Boston,Burlington,4,2000-01-01,2012-06-07,2015-10-30,1,Software
8497,344789135.0,USA,CA,SF Bay Area,Sunnyvale,10,2002-01-01,2006-04-03,2012-02-13,1,Manufacturing
8498,35301007.0,USA,MN,Minneapolis,Plymouth,5,2005-01-01,2007-01-23,2011-03-25,1,Health Care
8499,23000000.0,USA,IL,Chicago,Chicago,2,2002-01-01,2004-01-27,2006-11-06,1,Software
8501,15000000.0,USA,CA,SF Bay Area,Redwood Shores,3,2000-01-01,2004-02-17,2006-04-05,1,Software
8502,2900000.0,GBR,H9,London,London,2,2013-08-01,2014-11-01,2015-11-16,0,Big Data Analytics
8503,19150000.0,USA,FL,Florida's Treasure Coast,Vero Beach,5,2003-01-01,2004-01-01,2009-06-03,0,Advertising
8505,47893037.0,USA,CA,SF Bay Area,Santa Clara,9,1999-01-01,2002-10-02,2013-01-04,0,Mobile
8506,2750000.0,USA,PA,Pittsburgh,Pittsburgh,1,1990-01-01,2014-09-24,2014-09-24,0,
8510,14300000.0,ISR,2,Tel Aviv,Modi'in,3,2007-12-31,2009-03-25,2013-03-13,0,Defense
8511,318000.0,USA,KS,Kansas City,Olathe,2,2013-03-15,2013-05-14,2013-12-17,0,Software
8513,21189.0,,,,,1,2011-01-01,2011-09-05,2011-09-05,0,Software
8514,320621.0,GBR,H9,London,London,3,2014-08-04,2014-08-04,2014-12-24,0,Apps
8515,400000.0,USA,MA,Boston,Boston,1,2012-07-02,2014-04-01,2014-04-01,0,Apps
8516,9000000.0,USA,CA,SF Bay Area,San Francisco,1,2014-04-14,2014-08-06,2014-08-06,0,Politics
8520,10865285.0,USA,TX,Austin,Austin,3,2011-01-01,2012-01-11,2015-01-27,0,Hospitality
8521,120000.0,GBR,H9,London,London,1,2009-01-01,2014-12-01,2014-12-01,0,Recruiting
8522,4120000.0,USA,CA,SF Bay Area,San Francisco,2,2014-04-09,2015-02-25,2015-08-04,0,Finance Technology
8525,370000.0,RUS,48,Moscow,Moscow,2,2012-06-01,2012-11-01,2013-08-01,0,Cars
8526,2020000.0,USA,MA,Boston,Cambridge,3,2014-01-01,2014-12-01,2015-08-18,0,Wine And Spirits
8527,20000000.0,USA,CA,SF Bay Area,San Francisco,2,2011-02-20,2012-06-19,2013-09-18,1,Big Data
8528,17000000.0,USA,CA,SF Bay Area,San Jose,2,2009-10-01,2010-09-01,2014-07-28,0,Software
8529,2950000.0,USA,CA,SF Bay Area,San Francisco,3,2012-02-08,2013-02-11,2015-06-10,0,Consumer Internet
8530,4500000.0,USA,OR,"Portland, Oregon",Portland,2,2014-01-01,2014-10-28,2015-04-23,0,Enterprise Software
8531,7000000.0,USA,CA,SF Bay Area,San Bruno,3,2010-01-01,2010-10-01,2013-10-04,0,Contact Centers
8532,6500000.0,USA,NY,New York City,New York,2,2004-12-28,2013-05-31,2014-12-17,0,Energy
8533,200000.0,GBR,H9,London,London,1,2013-01-01,2014-01-13,2014-01-13,0,Analytics
8536,26500000.0,USA,NC,Raleigh,Morrisville,3,2002-01-01,2006-01-01,2009-04-22,0,Hardware + Software
8538,139764.0,NOR,12,Oslo,Oslo,1,2010-01-01,2011-02-03,2011-02-03,0,Enterprise Software
8539,2309230.0,GBR,H9,London,London,3,2000-01-01,2000-01-01,2003-01-01,0,Enterprise Software
8540,3046171.0,USA,NY,New York City,New York,3,2011-01-01,2013-02-28,2015-07-30,0,Mobile
8542,51470000.0,USA,CA,SF Bay Area,San Francisco,5,2012-03-01,2012-03-03,2015-07-21,0,Analytics
8544,198007658.0,JPN,19,Tokyo,Shibuya,8,2004-01-01,2005-03-01,2014-02-10,1,Analytics
8545,4900000.0,JPN,,,,1,2008-05-22,2008-05-22,2008-05-22,0,Games
8546,1550000.0,,,,,1,2012-03-12,2015-02-01,2015-02-01,0,Clean Energy
8547,2200000.0,USA,NC,Raleigh,Cary,2,2005-01-01,2007-04-13,2008-09-01,0,Internet
8548,61900000.0,USA,CA,SF Bay Area,San Mateo,4,2007-01-01,2008-08-08,2013-06-11,0,Search
8549,28000000.0,USA,CA,Los Angeles,Santa Monica,3,2011-01-01,2011-01-01,2013-10-29,0,Curated Web
8551,40000.0,,,,,1,2011-01-01,2011-07-29,2011-07-29,0,Curated Web
8552,5100000.0,USA,MO,Kansas City,Kansas City,2,2010-01-01,2011-10-16,2013-08-01,0,Energy
8553,25250000.0,USA,NY,New York City,New York,4,2011-01-01,2011-12-13,2015-11-06,0,Clean Technology
8554,120000.0,,,,,1,2011-08-01,2010-01-01,2010-01-01,0,Curated Web
8555,8948000.0,USA,CA,SF Bay Area,San Francisco,4,2012-10-25,2013-02-01,2015-12-02,0,Enterprise Software
8559,2094920.0,USA,CA,SF Bay Area,Burlingame,4,2007-01-01,2007-08-01,2009-07-06,1,Android
8560,3000000.0,USA,MA,Boston,Brookline,1,2006-01-01,2010-04-01,2010-04-01,0,Legal
8561,30000000.0,USA,NY,New York City,New York,1,2003-01-01,2011-07-19,2011-07-19,0,Advertising
8562,2055000.0,USA,TX,Austin,Round Rock,5,2014-03-28,2014-05-30,2015-05-15,0,E-Commerce Platforms
8563,430875.0,USA,NY,New York City,New York,1,2006-01-01,2014-11-05,2014-11-05,0,Automotive
8565,950000.0,USA,CO,Denver,Denver,1,2011-01-01,2011-11-01,2011-11-01,1,Curated Web
8569,850000.0,USA,CA,San Diego,Carlsbad,2,2006-10-01,2007-05-01,2008-05-27,0,Creative
8571,40242738.0,USA,CA,SF Bay Area,San Francisco,6,2006-01-01,2006-08-01,2014-06-16,1,Advertising
8572,5900000.0,USA,CA,San Diego,San Diego,3,2008-02-01,2008-05-31,2012-09-12,0,Finance
8575,845000000.0,USA,CA,SF Bay Area,Oakland,9,2004-01-01,2006-11-01,2013-07-25,1,Clean Technology
8576,1550000.0,USA,VA,"Washington, D.C.",Charlottesville,1,2012-01-01,2015-05-22,2015-05-22,0,Chemicals
8577,283000000.0,USA,FL,Miami,Miami,1,1997-01-01,2007-07-09,2007-07-09,1,Distribution
8578,6000000.0,USA,CA,SF Bay Area,San Francisco,1,2008-04-01,2008-10-21,2008-10-21,0,Education
8579,50000000.0,USA,IL,Chicago,Chicago,4,2009-09-26,2010-08-25,2013-11-15,0,Ad Targeting
